iter	Logloss
323	0.2127873605
324	0.2127856648
325	0.2127853204
326	0.2127755817
327	0.2127752707
328	0.2127741568
329	0.2127705146
330	0.2127693971
331	0.2127676462
332	0.2127658819
333	0.212761006
334	0.212759008
335	0.2127587419
336	0.2127582461
337	0.2127560245
338	0.2127559846
339	0.2127532947
340	0.2127449527
341	0.2127444214
342	0.2127396879
343	0.2127363615
344	0.2127362489
345	0.2127267878
346	0.2127243471
347	0.2127219055
348	0.2127151194
349	0.2127063189
350	0.2126780861
351	0.21267753
352	0.2126772637
353	0.2126747028
354	0.2126725992
355	0.212667394
356	0.2126621192
357	0.212660458
358	0.2126604317
359	0.2126599242
360	0.2126582894
361	0.212655204
362	0.2126483228
363	0.2126481036
364	0.2126480645
365	0.2126477632
366	0.2126426172
367	0.2126422595
368	0.2126380059
369	0.2126378525
370	0.2126347492
371	0.2126303442
372	0.2126300246
373	0.2126263388
374	0.2126228201
375	0.2126222815
376	0.2126222771
377	0.2126208021
378	0.2126175671
379	0.2126049067
380	0.2126047101
381	0.2126036812
382	0.2126036795
383	0.2126036449
384	0.2126032298
385	0.2126010156
386	0.2126010145
387	0.2126003784
388	0.2126001215
389	0.2125823782
390	0.2125819055
391	0.2125755181
392	0.2125755163
393	0.2125722242
394	0.2125706515
395	0.2125687418
396	0.2125679314
397	0.2125675214
398	0.2125668153
399	0.2125657988
400	0.2125653811
401	0.2125626755
402	0.2125620175
403	0.2125618244
404	0.2125547504
405	0.2125482283
406	0.2125473107
407	0.2125464575
408	0.2125441078
409	0.2125405827
410	0.2125404143
411	0.2125353448
412	0.2125300761
413	0.2125297919
414	0.2125297909
415	0.2125282436
416	0.2125190071
417	0.2125177419
418	0.2125175904
419	0.2125144246
420	0.212508637
421	0.212508407
422	0.2125084065
423	0.2125082262
424	0.2125040833
425	0.2125039445
426	0.2125038138
427	0.2124981474
428	0.212497804
429	0.212495253
430	0.2124868182
431	0.2124857146
432	0.2124850495
433	0.2124848595
434	0.2124838907
435	0.212483092
436	0.2124828539
437	0.2124778388
438	0.2124776813
439	0.2124772767
440	0.2124744153
441	0.2124734219
442	0.2124723221
443	0.2124723002
444	0.2124678686
445	0.2124678686
446	0.212466705
447	0.2124497134
448	0.2124447077
449	0.2124442796
450	0.2124441445
451	0.2124345116
452	0.2124340552
453	0.2124339199
454	0.212433919
455	0.2124333687
456	0.212432845
457	0.2124328448
458	0.2124326666
459	0.2124298793
460	0.2124294271
461	0.2124286865
462	0.2124267234
463	0.2124266321
464	0.2124265998
465	0.2124265174
466	0.2124162339
467	0.2124152103
468	0.2124135585
469	0.2124134343
470	0.212407397
471	0.2124070149
472	0.2124015629
473	0.2124015627
474	0.2124009794
475	0.2123996197
476	0.2123976835
477	0.2123937415
478	0.2123917078
479	0.2123726415
480	0.2123725856
481	0.2123703201
482	0.2123681776
483	0.2123664512
484	0.2123634081
485	0.2123626843
486	0.2123616351
487	0.2123612376
488	0.2123612093
489	0.2123543534
490	0.2123541317
491	0.2123526622
492	0.2123493477
493	0.2123427536
494	0.2123426621
495	0.2123412243
496	0.2123412057
497	0.212340851
498	0.2123408161
499	0.2123385893
